Dosya adı;Yer;Konu;Ne fotoğraflansın;Pedagojik gerekçe;Türkçe arama;İngilizce arama;Önerilen kaynak
s8-u1-hero.jpg;Ünite hero;Ünite hero · Kader İnancı;Uzun pozlama ile çekilmiş, kutup yıldızı çevresinde dönen yıldız izleri.;Ünitenin ana teması evrendeki ölçüdür. Yıldız izleri, gök cisimlerinin rastgele değil belirlenmiş yörüngelerde hareket ettiğini gözle görülür kılar. Konu özetindeki yıldızlı gece fotoğrafından FARKLI bir kare seçilmeli (aynı fotoğraf iki yerde kullanılmaz).;yıldız izleri uzun pozlama gece;star trails circular long exposure;Unsplash
s8-u1-0.jpg;Konu afişleri (mevcut konu anlatımı);Kader ve Kaza İnancı;Bir binanın teknik çizimi ile inşa edilmiş hâli yan yana.;Kader–kaza ilişkisinin ders kitabındaki klasik benzetmesi plan ve binadır. Gerçek bir mimari çizim fotoğrafı, “önce ölçü belirlenir, sonra gerçekleşir” fikrini somutlaştırır.;mimari plan çizim;architectural blueprint drawing;Pexels
s8-u1-1.jpg;Konu afişleri (mevcut konu anlatımı);İnsanın İradesi ve Kader;Yürüyen birinin önünde ikiye ayrılan patika.;"Cüzi irade “seçim yapabilme”dir. İki yola ayrılan patika, öğrencinin kendi karar anını hatırlamasını sağlar; soyut kavramı bedensel bir deneyime bağlar.";orman yol ayrımı patika;forked path in forest crossroads;Unsplash
s8-u1-2.jpg;Konu afişleri (mevcut konu anlatımı);Kaderle İlgili Kavramlar;Kumu akan bir kum saatinin yakın plan görüntüsü.;Ecel, ömür ve vakit kavramlarının ortak noktası ölçülü zamandır. Kum saati bu üç kavramı tek bir görüntüde toplar.;kum saati zaman;hourglass sand time closeup;Pexels
s8-u1-3.jpg;Konu afişleri (mevcut konu anlatımı);Bir Peygamber Tanıyorum: Hz. Musa (as);Sina Dağı’nın gün doğumunda çekilmiş görüntüsü.;"Kişi tasviri yapılmadan kıssanın geçtiği gerçek coğrafya gösterilir; olay öğrenci için masalsı değil tarihî bir yere bağlanır.";Sina Dağı;Mount Sinai Egypt landscape;Wikimedia Commons
s8-u1-4.jpg;Konu afişleri (mevcut konu anlatımı);Bir Ayet Tanıyorum: Ayetelkürsi;Cami duvarında ya da müzede sergilenen Ayetelkürsi hattı.;Ayetin kendisi görsel kültürümüzde hat sanatıyla yaşar. Gerçek bir levha fotoğrafı, ayeti hem metin hem kültürel miras olarak gösterir.;Ayetel Kürsi hat levha;Ayat al-Kursi calligraphy panel;Wikimedia Commons
s8-u1-k1-olay.jpg;Keşif Modu · 02 Bir olayı incele (fotoğraf → gözlem → soru);Keşif 1 · Kader ve Kaza;Toprağı yarıp çıkmış küçük bir filizin yakın plan görüntüsü.;Çekirdekteki program (kader) ile filizlenme (kaza) arasındaki ilişki, gerçek bir filiz fotoğrafında doğrudan görülür. Öğrenci benzetmeyi hayal etmek zorunda kalmaz.;filiz toprak çimlenme;seedling sprouting soil macro;Pexels
s8-u1-k2-olay.jpg;Keşif Modu · 02 Bir olayı incele (fotoğraf → gözlem → soru);Keşif 2 · Evrendeki Yasalar;Deprem sonrası ayakta kalan ve yıkılan yapıların bir arada görüldüğü kare.;Aynı şiddetteki depremin farklı sonuçlar doğurması, “yasa değişmez ama tedbir sonucu değiştirir” fikrinin en güçlü kanıtıdır. Fotoğraf bu karşılaştırmayı tek karede verir.;deprem hasar bina;earthquake damaged building;Wikimedia Commons
s8-u1-k3-olay.jpg;Keşif Modu · 02 Bir olayı incele (fotoğraf → gözlem → soru);Keşif 3 · İrade ve Sorumluluk;Masasında iki farklı yol arasında düşünen, elinde kalem tutan bir öğrenci.;"İnsanın iradesi soyut bir kavram değil, günlük bir karar anıdır. Öğrenci kendini bu karede görür; “ben de böyle seçim yapıyorum” bağı kurulur.";düşünen öğrenci karar masa;student thinking decision desk;Pexels
s8-u1-k4-olay.jpg;Keşif Modu · 02 Bir olayı incele (fotoğraf → gözlem → soru);Keşif 4 · Ecel ve Ömür;Kesilmiş bir ağaç gövdesinde yıl halkalarının görüldüğü yakın plan.;"Her halka bir yılı gösterir; ömrün ölçülebilir bir süre olduğunu ve bir yerde bittiğini somut biçimde anlatır. Ölüm korkusu yerine zamanın değeri vurgulanır.";ağaç gövde yıl halkaları;tree rings cross section;Unsplash
s8-u1-k5-olay.jpg;Keşif Modu · 02 Bir olayı incele (fotoğraf → gözlem → soru);Keşif 5 · Rızık;Olgunlaşmış buğday başakları ve hasat eden eller.;Rızkın hem Allah’tan geldiğini hem emekle arandığını tek karede gösterir: tohum insanın elinde değildir, ama ekmek ve hasat etmek insanın işidir.;buğday tarla hasat;wheat field harvest hands;Pexels
s8-u1-k6-olay.jpg;Keşif Modu · 02 Bir olayı incele (fotoğraf → gözlem → soru);Keşif 6 · Tevekkül;Uzun yolculuk öncesi lastik ve motor kontrolü yapan bir kişi.;"Tevekkülün ön şartı tedbirdir. “Önce deveni bağla” hadisinin bugünkü karşılığı tam olarak budur; öğrenci ilkeyi kendi hayatındaki bir sahnede görür.";araç lastik kontrol yolculuk;checking car tire before trip;Pexels
s8-u1-k2-fiz.jpg;Keşif Modu · Evrendeki Yasalar — üç yasa, üç fotoğraf;Fiziksel yasa;Uzun pozlama ile çekilmiş, dairesel yıldız izleri.;Gök cisimlerinin belirli yörüngelerde hareket ettiğini gözle görülür kılar — fiziksel yasanın en net kanıtı.;yıldız izleri uzun pozlama;star trails long exposure night;Unsplash
s8-u1-k2-biyo.jpg;Keşif Modu · Evrendeki Yasalar — üç yasa, üç fotoğraf;Biyolojik yasa;Arı kovanındaki altıgen petek gözlerinin yakın plan görüntüsü.;Hiçbir arı geometri öğrenmediği hâlde bütün petekler altıgendir. Biyolojik yasanın öğretilmeden işlediğini gösteren en çarpıcı örnek.;bal peteği arı kovan;honeycomb bees hexagon macro;Pexels
s8-u1-k2-top.jpg;Keşif Modu · Evrendeki Yasalar — üç yasa, üç fotoğraf;Toplumsal yasa;Ortak bir iş için el birliğiyle çalışan insanlar.;Toplumsal yasalar ancak insan davranışında görünür. Dayanışmanın somut bir görüntüsü, “çalışan toplumlar kalkınır” yasasını soyutluktan çıkarır.;imece dayanışma birlikte çalışma;community volunteers working together;Pexels
s8-u1-k2-ayet.jpg;Keşif Modu · 05 Fotoğraf + Ayet + Soru;Keşif 2 · Ayet;Bir çiçekten nektar toplayan bal arısı.;Nahl 68-69 doğrudan bal arısını anlatır. Ayeti okumadan önce arıyı gerçekten görmek, ayetin somut bir varlıktan söz ettiğini hissettirir.;bal arısı çiçek;honey bee on flower macro;Pexels
s8-u1-k3-ayet.jpg;Keşif Modu · 05 Fotoğraf + Ayet + Soru;Keşif 3 · Ayet;Ayrımda duran, iki yönü gösteren yol işareti.;İnsân 3 “yolu gösterdik, ister şükret ister nankörlük et” der. Gerçek bir yol ayrımı tabelası, ayetteki “gösterilen yol” imgesini görselleştirir.;yol ayrımı tabela;road sign two directions fork;Unsplash
s8-u1-k5-ayet.jpg;Keşif Modu · 05 Fotoğraf + Ayet + Soru;Keşif 5 · Ayet;Semt pazarında tezgâh ve alışveriş yapan insanlar.;Cuma 10 “yeryüzüne dağılın ve rızkını arayın” der. Pazar fotoğrafı, ayetin tam olarak günlük ekonomik hayatı kastettiğini gösterir.;semt pazarı tezgah alışveriş;farmers market stall shopping;Pexels
s8-u1-k1-gunluk.jpg;Keşif Modu · 06 Günlük hayatta gör;Keşif 1 · Günlük hayat;Masasında düzenli biçimde ders çalışan bir öğrenci.;Elif’in üç aylık çalışma programı anlatılıyor. Gerçek bir çalışma sahnesi, “sebep–sonuç kader inancının içindedir” fikrini öğrencinin kendi masasına taşır.;ders çalışan öğrenci masa;student studying at desk notebook;Pexels
s8-u1-k4-gunluk.jpg;Keşif Modu · 06 Günlük hayatta gör;Keşif 4 · Günlük hayat;Yaşlı bir kişinin torunuyla birlikte olduğu sıcak bir an.;Ömrün niceliği değil niteliği konuşuluyor. Kuşaklar arası bir an, “geride ne bırakıyorsun” sorusunu duygusal olarak da kurar.;dede torun birlikte;grandparent and grandchild together;Pexels
s8-u1-k6-gunluk.jpg;Keşif Modu · 06 Günlük hayatta gör;Keşif 6 · Günlük hayat;Bir hekimin hastasını muayene ettiği an.;“Tedavi olunuz” hadisi işleniyor. Gerçek bir muayene sahnesi, tevekkülün tedbiri dışlamadığını en anlaşılır biçimde gösterir.;doktor muayene hasta;doctor examining patient clinic;Pexels
