Dosya adı;Sınıf;Ünite;Konu;Durum;Ne fotoğraflansın;Türkçe arama;İngilizce arama;Kaynak;Not
s4-u1-0.jpg;4;1;Günlük Konuşmalarda Dinî İfadeler;BEKLIYOR;Selamlaşan iki çocuk / el sıkışma;selamlaşma çocuklar;children greeting handshake;Pixabay;Günlük konuşma ifadeleri: sıcak, yakın plan bir kare seç.
s4-u1-1.jpg;4;1;Dilek ve Dualarda Geçen Dinî İfadeler;BEKLIYOR;Dua eden açık eller (yüz görünmeden);dua eden eller;praying hands supplication;Pixabay;"Yüz görünmesin; sadece eller kadraja girsin."
s4-u1-2.jpg;4;1;Bir Dua Tanıyorum: Sübhâneke Duası ve Anlamı;BEKLIYOR;Açık Kur’an ve tespih, sade masa üstü;Kur’an tespih;quran prayer beads table;Pixabay;Sübhâneke duası bölümü — sakin, nötr bir kare.
s4-u1-3.jpg;4;1;Şükrü Hayatımıza Yansıtmak;BEKLIYOR;Sofrada paylaşılan ekmek / bereket;ekmek sofra paylaşım;bread sharing table gratitude;Pixabay;Şükür konusu. İsraf çağrıştıran taşkın sofra seçme.
s4-u1-4.jpg;4;1;Dinimizde Temizliğin Önemi;BEKLIYOR;Musluktan akan su altında el yıkama;el yıkama musluk;washing hands tap water;Pixabay;Temizlik. Çocuk eli tercih edilir.
s4-u1-5.jpg;4;1;Helal ve Sağlıklı Beslenme;BEKLIYOR;Meyve-sebze dolu sağlıklı tabak;sağlıklı beslenme tabak;healthy food plate fruits;Pixabay;Helal ve sağlıklı beslenme.
s4-u2-0.jpg;4;2;İslam'ın İnanç Esasları (İmanın Şartları);BEKLIYOR;Cami avlusunda gökyüzüne açılan kubbe;cami kubbe içten;mosque dome interior;Wikimedia Commons;İmanın esasları: soyut konu, mimari sembol kullan.
s4-u2-1.jpg;4;2;İslam'ın Şartları;BEKLIYOR;Şadırvan / abdest alınan çeşme;şadırvan cami;mosque ablution fountain;Wikimedia Commons;İslam’ın şartları — ibadet hazırlığı çağrışımı.
s4-u2-2.jpg;4;2;Kur'an-ı Kerim;BEKLIYOR;Rahle üstünde açık Kur’an-ı Kerim;rahle Kur’an;quran on wooden rehal stand;Pixabay;Sayfalar net görünsün.
s4-u2-3.jpg;4;2;Bir Dua Tanıyorum: Âmentü Duası ve Anlamı;BEKLIYOR;Hat sanatıyla yazılmış levha;hat sanatı levha;islamic calligraphy panel;Wikimedia Commons;Âmentü duası bölümü.
s4-u3-0.jpg;4;3;Din Güzel Ahlaktır;BEKLIYOR;Birbirine yardım eden iki çocuk;yardımlaşan çocuklar;children helping each other;Pixabay;Güzel ahlak — davranış gösteren bir kare.
s4-u3-1.jpg;4;3;İnsani İlişkilerin Temeli: Sevgi ve Saygı;BEKLIYOR;Torununun elini tutan yaşlı bir el;büyükanne çocuk el;grandparent child holding hands;Pixabay;Sevgi ve saygı.
s4-u3-2.jpg;4;3;Bir Sure Tanıyorum: Fatiha Suresi ve Anlamı;BEKLIYOR;Fatiha suresinin yazılı olduğu mushaf sayfası;Fatiha suresi mushaf;Al-Fatiha quran page;Wikimedia Commons;Elyazması veya basılı mushaf sayfası olabilir.
s4-u4-0.jpg;4;4;Hz. Muhammed'in (sav) Doğduğu Çevre;BEKLIYOR;Mekke çevresindeki çöl ve dağlar;Mekke dağları çöl;Mecca desert mountains Hejaz;Wikimedia Commons;DİKKAT: kişi tasviri yok. Coğrafya fotoğrafı.
s4-u4-1.jpg;4;4;Hz. Muhammed'in (sav) Ailesi;BEKLIYOR;Eski Arap evi / taş mimari detayı;geleneksel Arap evi;traditional Hejazi house Mecca;Wikimedia Commons;Aile konusu — mekân üzerinden anlat.
s4-u4-2.jpg;4;4;Doğumu, Çocukluk ve Gençlik Yılları;BEKLIYOR;Hurma ağaçları ve çöl gün doğumu;hurma ağacı çöl;date palm desert sunrise;Pixabay;Doğum, çocukluk, gençlik — sembolik manzara.
s4-u4-3.jpg;4;4;Mekke ve Medine Yılları;BEKLIYOR;Mescid-i Nebevî dış görünüm;Mescid-i Nebevi Medine;Al-Masjid an-Nabawi exterior;Wikimedia Commons;Mekke–Medine yılları.
s4-u4-4.jpg;4;4;Bir Dua Tanıyorum: Salli ve Barik Duaları;BEKLIYOR;Cami içinde ışık huzmesi;cami iç ışık;mosque interior light beam;Wikimedia Commons;Salli-Barik duaları bölümü.
s4-u5-0.jpg;4;5;İslam Dini ve Temizlik;HAZIR;Su damlası;;;Fotoğraf: José Manuel Suárez — CC BY 2.0 · Wikimedia Commons;
s4-u5-1.jpg;4;5;Bedenimi ve Giysilerimi Temiz Tutarım;BEKLIYOR;Asılı temiz çamaşırlar;temiz çamaşır asılı;clean laundry hanging line;Pixabay;Beden ve giysi temizliği.
s4-u5-2.jpg;4;5;Evimi ve Okulumu Temiz Tutarım;BEKLIYOR;Toplanmış düzenli çocuk odası / sınıf;düzenli sınıf;tidy classroom desks;Pixabay;Ev ve okul temizliği.
s4-u5-3.jpg;4;5;Çevremi Temiz Tutarım;BEKLIYOR;Çöp toplayan çocuklar / temiz park;çevre temizliği çocuk;children cleaning park litter;Pixabay;Çevre temizliği.
s4-u6-0.jpg;4;6;Allah'ı Tanıyorum;BEKLIYOR;Gün doğumunda dağ manzarası;gün doğumu dağ;sunrise mountain landscape;Pixabay;Allah’ı tanıma — tabiat üzerinden.
s4-u6-1.jpg;4;6;Allah Bizi Seviyor;BEKLIYOR;Yeni açmış çiçek / filiz;filiz toprak;seedling sprout soil;Pixabay;Allah bizi seviyor — nimet ve şefkat çağrışımı.
s4-u6-2.jpg;4;6;Allah'a Dua Ediyorum;BEKLIYOR;Seccade üzerinde açık eller;seccade dua;prayer rug hands dua;Pixabay;"Dua konusu; yüz kadraja girmesin."
s4-u6-3.jpg;4;6;Kelime-i Tevhit ve Kelime-i Şehadet;BEKLIYOR;Kelime-i tevhit yazılı hat levhası;kelime-i tevhid hat;kalima tawhid calligraphy;Wikimedia Commons;Tevhit ve şehadet.
s4-u6-4.jpg;4;6;Bir Dua Öğreniyorum: Amentü Duası;BEKLIYOR;Açık Kur’an ve mum ışığı;Kur’an mum;open quran candlelight;Pixabay;Âmentü duası (4. sınıf).
s5-u1-0.jpg;5;1;Evrendeki Mükemmel Düzen;HAZIR;Yıldızlı gece göğü;;;Fotoğraf: Andy (Pittsburgh) — CC BY 2.0 · Wikimedia Commons;
s5-u1-1.jpg;5;1;Allah'ın Varlığı ve Birliği;BEKLIYOR;Bal peteği veya kar tanesi makro;bal peteği makro;honeycomb macro pattern;Pixabay;Allah’ın varlığı ve birliği — düzen delili.
s5-u1-2.jpg;5;1;Allah'ın Güzel İsimleri (Esmaülhüsna);BEKLIYOR;Esmaülhüsna yazılı hat panosu;esmaülhüsna hat;names of Allah calligraphy;Wikimedia Commons;Cami duvarındaki levha da olur.
s5-u1-3.jpg;5;1;Bir Sure Öğreniyorum: İhlas Suresi;BEKLIYOR;İhlas suresi yazılı mushaf sayfası;İhlas suresi;Surah Al-Ikhlas quran page;Wikimedia Commons;
s5-u2-0.jpg;5;2;Namaz İbadeti;HAZIR;Bir caminin namaz kılınan iç mekânı;;;Fotoğraf: Paul Livingstone — CC BY 2.0 · Wikimedia Commons;
s5-u2-1.jpg;5;2;Namazın Kılınışı;BEKLIYOR;Boş seccade ve mihrap;mihrap seccade;mihrab prayer niche carpet;Wikimedia Commons;Namazın kılınışı — adımları illüstrasyon anlatıyor, foto mekân versin.
s5-u2-2.jpg;5;2;Namaz İbadetinin İnsana Kazandırdıkları;BEKLIYOR;Cami penceresinden gelen sabah ışığı;cami pencere ışık;mosque window morning light;Wikimedia Commons;Namazın kazandırdıkları.
s5-u2-3.jpg;5;2;Bir Dua Öğreniyorum: Tahiyyat Duası;BEKLIYOR;Oturur vaziyette seccade detayı;seccade deseni;prayer rug pattern detail;Pixabay;Tahiyyat duası.
s5-u3-0.jpg;5;3;Kur'an-ı Kerim'in İç Düzeni;BEKLIYOR;Mushafın cüz/sure başlıklı süslü sayfası;mushaf tezhip sure başı;illuminated quran surah heading;Wikimedia Commons;Kur’an’ın iç düzeni: sure–ayet–cüz.
s5-u3-1.jpg;5;3;Kur'an-ı Kerim'in Temel Özellikleri;HAZIR;Nesih hattıyla yazılmış Kur’an sayfası;;;Fotoğraf: Zeynelâbidîn İsfahânî — Kamu malı · Wikimedia Commons;
s5-u3-2.jpg;5;3;Kur'an-ı Kerim'in Ana Konuları;BEKLIYOR;Elde tutulan açık Kur’an;Kur’an okuyan el;hands holding open quran;Pixabay;Ana konular.
s5-u3-3.jpg;5;3;Bir Sure Öğreniyorum: Kevser Suresi;BEKLIYOR;Kevser suresi yazılı sayfa;Kevser suresi;Surah Al-Kawthar quran;Wikimedia Commons;
s5-u4-0.jpg;5;4;Allah'ın Elçileri: Peygamberler;BEKLIYOR;Uzayan yol / patika;patika yol tabiat;path trail landscape;Pixabay;Peygamberler: rehberlik ve yol çağrışımı. Kişi tasviri YOK.
s5-u4-1.jpg;5;4;Kur'an-ı Kerim'den Öğütler: Peygamber Kıssaları;HAZIR;Nuh’un gemisinin bire bir ölçekli maketi;;;Fotoğraf: neufal54 — CC0 · Wikimedia Commons;
s5-u4-2.jpg;5;4;Bir Sure Öğreniyorum: Kureyş Suresi;HAZIR;Kâbe;;;Fotoğraf: Bilinmeyen — Kamu malı · Wikimedia Commons;
s5-u5-0.jpg;5;5;Dinin Mimarimize Etkisi;HAZIR;Cami süslemesinde geometrik desen;;;Fotoğraf: Petar Milošević — CC BY-SA 4.0 · Wikimedia Commons;
s5-u5-1.jpg;5;5;Camileri Tanıyalım;BEKLIYOR;Cami bölümleri görünen geniş iç mekân;cami iç mekan minber mihrap;mosque interior minbar mihrab;Wikimedia Commons;Camileri tanıyalım — minber, mihrap, mahfil görünsün.
s5-u5-2.jpg;5;5;Kültürümüzden Cami Örnekleri;HAZIR;Süleymaniye Camii, İstanbul;;;Fotoğraf: Mattias Hill — CC BY-SA 4.0 · Wikimedia Commons;
s6-u1-0.jpg;6;1;İnsanlara Rehber: Peygamber;BEKLIYOR;Yol gösteren fener / deniz feneri;deniz feneri;lighthouse guiding light;Pixabay;Peygamber = rehber. Kişi tasviri YOK.
s6-u1-1.jpg;6;1;Peygamberlerin İlettiği Mesaj: Vahiy;BEKLIYOR;Hira Dağı / Nur Dağı manzarası;Hira mağarası Nur dağı;Jabal al-Nur Hira cave;Wikimedia Commons;Vahiy konusu.
s6-u1-2.jpg;6;1;İlahi Kitaplar;HAZIR;Abbâsî dönemine ait Kur’an sayfası;;;Fotoğraf: Bilinmeyen — Kamu malı · Wikimedia Commons;
s6-u1-3.jpg;6;1;Bir Sure Öğreniyorum: Felak Suresi;BEKLIYOR;Felak suresi yazılı sayfa;Felak suresi;Surah Al-Falaq quran page;Wikimedia Commons;
s6-u2-0.jpg;6;2;Oruç ve Kur'an Ayı Ramazan;BEKLIYOR;Ramazan’da kandilleri yanan cami;ramazan cami mahya;ramadan mosque lights night;Wikimedia Commons;Oruç ve Kur’an ayı.
s6-u2-1.jpg;6;2;Oruç İbadeti;BEKLIYOR;Hurma ve su bardağı;hurma su iftar;dates and water iftar;Pixabay;Oruç ibadeti.
s6-u2-2.jpg;6;2;Oruç İbadetinin İnsana Kazandırdıkları;BEKLIYOR;Kalabalık iftar sofrası / paylaşma;iftar sofrası toplu;community iftar meal;Wikimedia Commons;Orucun kazandırdıkları — dayanışma.
s6-u2-3.jpg;6;2;Bir Dua Öğreniyorum: İftar Duası;HAZIR;Hilal;;;Fotoğraf: Bilinmeyen — Kamu malı · Wikimedia Commons;
s6-u3-0.jpg;6;3;Doğru Sözlü Olmak;BEKLIYOR;Kalem ve dürüstlük çağrıştıran imza / söz;el sıkışma güven;handshake trust agreement;Pixabay;Doğru sözlü olmak.
s6-u3-1.jpg;6;3;Merhametli Olmak;BEKLIYOR;Sokak kedisini besleyen el;kedi besleyen el;feeding stray cat hand;Pixabay;Merhamet.
s6-u3-2.jpg;6;3;Adap ve Nezaket Kurallarına Uymak;BEKLIYOR;Yaşlıya yer veren genç (otobüs);yaşlıya yardım;young person helping elderly;Pixabay;Adap ve nezaket.
s6-u3-3.jpg;6;3;Vatanımızı Sevmek;BEKLIYOR;Türk bayrağı;Türk bayrağı;Turkish flag waving;Pixabay;Vatan sevgisi.
s6-u3-4.jpg;6;3;Bir Dua Öğreniyorum: Kunut Duaları;BEKLIYOR;Kunut duası okunan cami iç mekânı;cami vitray;mosque stained glass window;Wikimedia Commons;Kunut duaları.
s6-u4-0.jpg;6;4;Hz. Muhammed'in (sav) Doğduğu Çevre;BEKLIYOR;Kâbe çevresi eski gravür-fotoğraf / Mekke şehri;Mekke şehir eski;old Mecca city photograph;Wikimedia Commons;Doğduğu çevre. Kişi tasviri YOK.
s6-u4-1.jpg;6;4;Hz. Muhammed'in (sav) Ailesi ve Çocukluğu;BEKLIYOR;Geleneksel çöl çadırı / kervan yolu;çöl çadırı bedevi;bedouin tent desert;Wikimedia Commons;Ailesi ve çocukluğu — dönem atmosferi.
s6-u4-2.jpg;6;4;Hz. Muhammed'in (sav) Gençlik Yılları;BEKLIYOR;Eski ticaret kervan yolu / develer;deve kervanı çöl;camel caravan desert trade;Pixabay;Gençlik yılları, ticaret.
s6-u4-3.jpg;6;4;Bir Sure Öğreniyorum: Fil Suresi;BEKLIYOR;Fil suresi yazılı sayfa;Fil suresi;Surah Al-Fil quran page;Wikimedia Commons;
s6-u5-0.jpg;6;5;Geleneğimizde Dinin İzleri;BEKLIYOR;Bayram sabahı el öpme / bayram şekeri;bayram geleneği;eid celebration tradition Turkey;Wikimedia Commons;Geleneğimizde dinin izleri.
s6-u5-1.jpg;6;5;Edebiyatımızda Dinin İzleri;BEKLIYOR;Eski Osmanlı el yazması divan sayfası;divan edebiyatı el yazması;Ottoman manuscript poetry page;Wikimedia Commons;Edebiyatımızda dinin izleri.
s6-u5-2.jpg;6;5;Musikimizde Dinin İzleri;HAZIR;İslam sanatında geometrik desen;;;Fotoğraf: Jorge Láscar — CC BY 2.0 · Wikimedia Commons;
